Dia,Poluentes,Indice,,,,,,,,,
23-08-17,Particulas Inalaveis, Particulas Inalaveis,,17,36,,,,,,
24-08-17,Particulas Inalaveis, Ozonio,,16,25,,,,,,
25-08-17,Particulas Inalaveis, Ozonio,,23,55,,,,,,
26-08-17,,,,,,,,,,,
27-08-17,,,,,,,,,,,
28-08-17,Particulas Inalaveis, Ozonio,,23,55,,,,,,
29-08-17,Particulas Inalaveis, Ozonio,,25,53,,,,,,
30-08-17,Dioxido de Nitrogenio,Ozonio,Ozonio,19,52,63,,,,,
31-08-17,Particulas Inalaveis,Particulas Inalaveis,41,66,,,,,,,
01-09-17,Ozonio,Particulas Inalaveis,40,59,,,,,,,
02-09-17,,,,,,,,,,,
03-09-17,,,,,,,,,,,
04-09-17,Ozonio,Ozonio,39,30,,,,,,,
05-09-17,Ozonio,Ozonio,29,26,,,,,,,
06-09-17,Particulas Inalaveis,Particulas Inalaveis,40,54,,,,,,,
07-09-17,,,,,,,,,,,
08-09-17,,,,,,,,,,,
09-09-17,,,,,,,,,,,
10-09-17,,,,,,,,,,,
11-09-17,Particulas Inalaveis,Ozonio,Ozonio,13,33,57,,,,,
12-09-17,Particulas Inalaveis,Particulas Inalaveis,Ozonio,20,46,88,,,,,
13-09-17,Particulas Inalaveis,Ozonio,19,39,,,,,,,
14-09-17,Particulas Inalaveis,Ozonio,18,37,,,,,,,
15-09-17,Particulas Inalaveis,Particulas Inalaveis,Particulas Inalaveis,20,36,43,,,,,
16-09-17,,,,,,,,,,,
17-09-17,,,,,,,,,,,
18-09-17,Particulas Inalaveis,Particulas Inalaveis,16,34,,,,,,,
19-09-17,Particulas Inalaveis,Particulas Inalaveis,Ozonio,22,45,61,,,,,
20-09-17,Particulas Inalaveis,Ozonio,Ozonio,13,28,58,,,,,
21-09-17,Particulas Inalaveis,Ozonio,Ozonio,16,36,79,,,,,
22-09-17,Particulas Inalaveis, Particulas Inalaveis, Particulas Inalaveis,21,51,36,,,,,
23-09-17,,,,,,,,,,,
24-09-17,,,,,,,,,,,
25-09-17,Particulas Totais em Suspensao, Particulas Inalaveis,34,26,,,,,,,
26-09-17,Particulas Inalaveis,Ozonio,Dioxido de Nitrogenio,19,37,24,,,,,
27-09-17,Particulas Inalaveis,Particulas Inalaveis,Ozonio,16,34,39,,,,,
28-09-17,Particulas Inalaveis,Ozonio,Ozonio,24,58,60,,,,,
29-09-17,Particulas Inalaveis,Particulas Inalaveis,Particulas Inalaveis,23,48,41,,,,,
30-09-17,,,,,,,,,,,
01-10-17,,,,,,,,,,,
02-10-17,Ozonio,Particulas Inalaveis,Ozonio,31,37,61,,,,,
03-10-17,Ozonio,Ozonio,Ozonio,32,41,49,,,,,
04-10-17,Ozonio,Ozonio,Ozonio,25,27,39,,,,,
05-10-17,Ozonio,42,,,,,,,,,
06-10-17,Ozonio,Ozonio,Ozonio,26,41,55,,,,,
07-10-17,,,,,,,,,,,
08-10-17,,,,,,,,,,,
09-10-17,Ozonio,Ozonio,Ozonio,37,56,53,,,,,
10-10-17,Ozonio,Particulas Inalaveis,Ozonio,29,50,60,,,,,
